Date,Loc.,Title,Company,Location,Link,Level
6/11,USA,"Vice President, Global Total Rewards & HR Operations","Advanced Energy Industries, Inc.","Denver, CO",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Human Resources Director: Global HR Technology & Operations,Amspec LLC.,"Cranbury, NJ",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Analytics",Blue Origin,"Seattle, WA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, HR Technology",Broad Institute,"Cambridge, MA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Vice President, Total Rewards and People Technology",Cityblock Health,United States,Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Head of People Insights,Danaher Corporation,"New York, NY",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Workforce Management & Process Improvement",Dior,United States,Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Analytics","Everest Re Group, Ltd.","Warren, NJ",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Insights & AI Strategy",Finance Technology AS,"Clearwater, FL",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Director of Employee Experience,Foley Equipment,"Kansas City, MO",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Senior Director HR Performance and Planning,Franciscan Missionaries of Our Lady Health System,Louisiana,Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Organizational Effectiveness",Gilead Sciences,"Foster City, CA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Human Capital Management Systems",JM Huber Corporation,"Atlanta, GA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Analytics & Insights",Mastercard,"Purchase, NY",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, HR Platform Technology",Pacific Life,"Newport Beach, CA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, HR Technology & Analytics",Saint Gobain,"Malvern, PA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Senior Director, HR Strategy",Samsung Electronics,"Englewood Cliffs, NJ",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Vice President, People Operations & Digital HR Enablement",Securitas,"Parsippany-Troy Hills, NJ",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Workforce & Organizational Strategy Lead",Sumitomo Mitsui Banking Corporation,"New York, NY",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Sr Director, Global Talent Operations",Take-Two Interactive Software,"New York, NY",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Head of Global Compensation and Talent Analytics,The Chamberlain Group LLC,"Oak Brook, IL",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Labor Planning",The Pep Boys Manny Moe & Jack LLC,"Bala-Cynwyd, PA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Analytics",The Wonderful Company,"Los Angeles, CA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Senior Director, Talent Intelligence",Vertex Pharmaceuticals,"Boston, MA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, HRIS (ADP WFN) & Total Rewards",WSB LLC,"Minneapolis, MN",Link,Director / Senior Director / VP - People Analytics Roles
6/11,UK,"Head of Service (Performance, Data & Transformation)",Bradford Children and Families Trust,Bradford,Link,Director / Senior Director / VP - People Analytics Roles
6/11,UK,Head of Strategic Workforce Planning,Cabinet Office,Newcastle,Link,Director / Senior Director / VP - People Analytics Roles
6/11,UK,"Head of Strategic People Partnering, OD & Skills",Companies House,Cardiff,Link,Director / Senior Director / VP - People Analytics Roles
6/11,UK,Head of People Analytics and Reporting,Companies House,Cardiff,Link,Director / Senior Director / VP - People Analytics Roles
6/11,UK,Head of Workforce Planning,Companies House,Cardiff,Link,Director / Senior Director / VP - People Analytics Roles
6/11,UK,Deputy Director - Strategic Workforce & Resourcing,"Department for Science, Innovation & Technology",London,Link,Director / Senior Director / VP - People Analytics Roles
6/11,UK,"People Director, Reward & Analytics",Landor,London,Link,Director / Senior Director / VP - People Analytics Roles
6/11,UK,Head of People Operations,So Energy,London,Link,Director / Senior Director / VP - People Analytics Roles
6/11,CAN,Director of People and Workplace Culture,Akisqnuk First Nation,"Windermere, BC",Link,Director / Senior Director / VP - People Analytics Roles
6/11,CAN,Head of HR Data Engineering,BMO Financial Group,"Toronto, ON",Link,Director / Senior Director / VP - People Analytics Roles
6/11,CAN,Director HR Systems and Operations,RainCity Housing and Support Society,"Vancouver, BC",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Director, People Technology, Data & Analytics",Amerihealth Caritas,"Newtown Square, PA",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,Director of Human Resources and People Operations,Ascend Public Charter Schools,"Brooklyn, NY",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Vice President, People Technology and Ops",BAE Systems,"Falls Church, VA",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,Head of Employee Listening (SVP),Citi,"Tampa, FL",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,Director of People Operations,Energy Solutions - USA,"Chicago, IL",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Director, People Analytics",Figma,"New York, NY",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Director, HRIS",ImageFIRST Healthcare,"King of Prussia, PA",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Director, Performance Management & Voice of Employee",Intuit,"Mountain View, CA",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,Senior Director People Operations,JCPenney,"Dallas, TX",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,Head of HR Technology and Transformation,"Jefferies & Company, Inc.","Jersey City, NJ",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Sr Director, Enterprise Workforce Productivity",Mass General Brigham,"Somerville, MA",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"VP Global Talent, Performance & Culture","McAfee, LLC","Frisco, TX",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Director, People Operations",National Veterinary Associates,"Austin, TX",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Director, Data Analytics - Scaled People Insights/GenAI",Walmart,"Bentonville, AR",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,"Director, HRIS",Waters Corporation,"Milford, MA",Link,Director / Senior Director / VP - People Analytics Roles
5/12,USA,HRIS Director,Wayne-Sanderson Farms,"Oakwood, GA",Link,Director / Senior Director / VP - People Analytics Roles
5/12,UK,Head of Enterprise - HR Operations & Total Rewards,APCOA,Uxbridge,Link,Director / Senior Director / VP - People Analytics Roles
5/12,CAN,"Director, Total Rewards and HR Technology",CIMA+,"Montréal, QC",Link,Director / Senior Director / VP - People Analytics Roles
4/8,USA,"Director, HR People Operations",Auction.com,"Irvine, CA",Link,Director / Senior Director / VP - People Analytics Roles
4/8,USA,"Dir, HR Transformation",Palo Alto Networks,"Santa Clara, CA",Link,Director / Senior Director / VP - People Analytics Roles
4/8,USA,HRIS Director,Related,"New York, NY",Link,Director / Senior Director / VP - People Analytics Roles
4/8,UK,"Director, People Analytics",Figma,Remote,Link,Director / Senior Director / VP - People Analytics Roles
4/8,CAN,"Director, Strategic Workforce Capacity Planning",ADP,"Dartmouth, NS",Link,Director / Senior Director / VP - People Analytics Roles
3/10,USA,Global HR Technology & Operations Director,AmSpec Group,"Cranbury, NJ",Link,Director / Senior Director / VP - People Analytics Roles
3/10,USA,"Director, People Operations & Analytics",Harbor Group Management Company,"Norfolk, VA",Link,Director / Senior Director / VP - People Analytics Roles
3/10,USA,"Director, HR Transformation",Palo Alto Networks,"Santa Clara, CA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Senior Manager – Performance Optimization & Analytics,Aloden Inc,"Houston, TX",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Senior Manager, People Solutions",Altisource,"Alpharetta, GA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Senior Manager, Workforce Strategy & Analytics",Apple,"Austin, TX",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,HR Analytics Manager,BlackLine,United States,Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,HRIS & People Analytics Manager,Boot Barn,"Irvine, CA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Manager, Workforce Optimization",Broadview Federal Credit Union,"Buffalo, NY",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,Strategic Workforce Planning Manager,Bunge,"Chesterfield, MO",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Manager, People Systems & Analytics",California Academy of Sciences,"San Francisco, CA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Manager, HR & People Analytics",Carters Inc.,"Atlanta, GA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Organization Design & Transformation, Senior Manager",Charles Schwab Corporation,"Lone Tree, CO",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Associate Director, Organizational Effectiveness",ChenMed,"Miami, FL",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Manager, Workforce Analytics I",Chewy,"Dallas, TX",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,Human Resources Data and Analytics Manager,Cintas,"Mason, OH",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,People Services Manager,Curtin Maritime,"Long Beach, CA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Sr. Manager, HR Technology & Analytics",DispatchHealth,United States,Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Sr. Manager, People Analytics",Genuine Parts Company,"Atlanta, GA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,Workforce Planning Manager,Hiscox,"Atlanta, GA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Manager 3, People Data & Analytics Summary",Intuit,"Plano, TX",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Manager, Workforce Transformation HCA",KPMG,"Seattle, WA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Sr. Manager, Workforce Insights & Planning",Kraft Heinz Company,"Chicago, IL",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Data Science Manager, Talent Acquisition",Lucid Motors,"Newark, CA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,Workforce Planning and Analytics Manager,MDK,Columbus,Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,Workforce Planning & Strategy Manager,NAPA,"Atlanta, GA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Manager, People Analytics & Reporting",NBCUniversal,"Englewood Cliffs, NJ",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,HR Analytics and Reporting Manager,OneMain Financial,"Baltimore, MD",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Sr. Manager, Data Analytics",Pinterest,United States,Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Manager, People Analytics",RBI,"Miami, FL",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Senior Manager, People Analytics",Salesforce,"Atlanta, GA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,Senior Manager of Talent Management & Planning,Salt River Project,"Tempe, AZ",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Senior Manager, People Analytics",Samsung Electronics,"Ridgefield Park, NJ",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Sr. Manager, HR Systems",SCAN Group,"Long Beach, CA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,MANAGER - WORKFORCE PLANNING,Seminole Gaming,"Davie, FL",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,Talent Analytics Manager,Summit Leadership Partners,"Charlotte, NC",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,Workforce Insights & Analytics Manager,The Law Offices of Daniel Kim,"Costa Mesa, CA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Strategic Analytics, Reporting and Workforce Planning Manager",TJX Companies,"Marlborough, MA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Assistant Director, HR Data and Analytics",University of Michigan,"Ann Arbor, MI",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Associate Director, Talent Analytics","Willmott & Associates, Inc.","Boston, MA",Link,Manager / Senior Manager - People Analytics Roles
6/11,USA,"Senior Manager, People Analytics",Zscaler,"San Jose, CA",Link,Manager / Senior Manager - People Analytics Roles
6/11,UK,People Operations Manager,Adam Smith International,London,Link,Manager / Senior Manager - People Analytics Roles
6/11,UK,Talent Intelligence Senior Manager,Boston Consulting Group,London,Link,Manager / Senior Manager - People Analytics Roles
6/11,UK,Strategic Workforce Analytics Manager,Lloyds Banking Group,Edinburgh,Link,Manager / Senior Manager - People Analytics Roles
6/11,UK,"Senior Manager, People Insights Business Intelligence Lead",LSEG (London Stock Exchange Group),London,Link,Manager / Senior Manager - People Analytics Roles
6/11,UK,People Insights Manager,PXC,Salford Quays,Link,Manager / Senior Manager - People Analytics Roles
6/11,UK,HR Operations Reporting Manager,UK Space Agency,Edinburgh,Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,HR Manager - Operations & Planning,Autoport Limited,"Eastern Passage, NS",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,People Analytics and Strategic Projects Manager,Egon Zehnder,"Montréal, QC",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,Manager HR Operations,Irving Oil,"Saint John, NB",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,"Sr Manager, HR Operations",OpenTable,"Toronto, ON",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,"Manager, Forecasting, Insights and Analytics",Royal Bank of Canada,"Mississauga, ON",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,"Senior Manager, Advanced People Analytics",Royal Bank of Canada,"Toronto, ON",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,"Senior Manager, Compensation Strategy and Governance",Royal Bank of Canada,"Toronto, ON",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,"Sr. Manager, Strategy, Insights & Research",Royal Bank of Canada,"Toronto, ON",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,"Senior Manager, Organization Effectiveness Governance",TD Bank,"Toronto, ON",Link,Manager / Senior Manager - People Analytics Roles
6/11,CAN,"Manager, HR Technology, Analytics and Shared Services",York Region,"Newmarket, ON",Link,Manager / Senior Manager - People Analytics Roles
6/11,AUS,Manager - Reporting Solutions,ANZ Banking Group,Melbourne VIC,Link,Manager / Senior Manager - People Analytics Roles
6/11,AUS,People & Culture Manager,Crystalbrook Bailey,Cairns QLD,Link,Manager / Senior Manager - People Analytics Roles
6/11,AUS,"Manager Workforce Planning, Head Office",Delaware North,Docklands VIC,Link,Manager / Senior Manager - People Analytics Roles
6/11,AUS,Workforce Capability Manager,Great Barrier Reef Marine Park Authority,Townsville QLD,Link,Manager / Senior Manager - People Analytics Roles
6/11,AUS,Manager Workforce Data and Insights,NSW Strategic Services and Advice,Sydney,Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"Manager, HR Data Analytics",Acrisure,"Grand Rapids, MI",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Sr. Global HR Data & Insights Manager,Adobe,"San Jose, CA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Sr. Manager HRIS Design Delivery & Operations,Ahold Delhaize USA,"Carlisle, PA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Manager - HRIS Data & Reporting,American Eagle Outfitters,"Pittsburgh, PA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,HRIS Analytics Manager,Apis Services Inc,United States,Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"Manager, HRIS and Rewards",Avecia,"Milford, MA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Manager - Senior HR Operations,Bally's Shreveport Casino & Hotel,"Shreveport, LA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,People Analytics and Systems Manager,BlackLine,"Pleasanton, CA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"Sr. Manager, HRIS & People Analytics",Boot Barn,"Irvine, CA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"Manager, HR & People Analytics",Carter's,"Atlanta, GA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"Manager Analytics & Reporting, Workday",Children's Wisconsin,"Milwaukee, WI",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,People Analytics Manager,Citizens,"Stamford, CT",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"Manager, People Services (PSM)",DAVITA,"Denver, CO",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,IT Human Capital Manager,"Goldbelt, Inc.","Falls Church, VA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"Sr Manager, HR Analytics & Insights",H-E-B,"San Antonio, TX",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,HRIS Analytical Manager,Hanwha Techwin America Inc,"Teaneck, NJ",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Senior Manager People Operations,Homeward,"Chicago, IL",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"AVP, Executive Dev. & Talent Planning",MetLife,"New York, NY",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,People Analytics Manager,Moloco,"Redwood City, CA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Employee Listening and Talent Intelligence Manager,Payoneer,"New York, NY",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Workforce Planning Manager,Payoneer,"New York, NY",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Master Data Management (MDM) Lead,Penske Truck Leasing and Logistics,"Reading, PA",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,Senior HR Data Manager,Perdue Farms,"Baltimore, MD",Link,Manager / Senior Manager - People Analytics Roles
5/12,USA,"Senior Manager, Workday Reporting & Analytics",PVH,"Bridgewater, NJ",Link,Manager / Senior Manager - People Analytics Roles
